Experiment,ExperimentName,Rotation,Gender,Order,Subject,AgeInMonths,AgeinYears,RunningOrder_List,CorrectResponse,ResponseCode,Response,ResponseRT,DisplayQuestion1.RTTime,Multi,Item,NewItem,Operation,Procedure,QuestionText,Position,Referent,Running
1,RyanMaths_Order3F_A,3,F,A,1,108,9,5,13{SPACE},1,13{SPACE},16993,633514,Object,1,1,Addition,QuestionProc1,You have 4 apples and also have 9 bananas. How many pieces of fruit do you have altogether?,First,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,7,10{SPACE},1,10{SPACE},11394,654135,Object,2,2,Addition,QuestionProc1,"You had 8 pencils, then you got 2 notepads. How many things do you have now?",First,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,22,7{SPACE},1,7{SPACE},8398,888000,Object,3,3,Addition,QuestionProc1,You bought 3 games and 4 songs for the journey. How many things did you buy for the journey?,First,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,20,13{SPACE},1,13{SPACE},18526,872858,Object,4,4,Addition,QuestionProc1,Altogether you have 7 sweets and 6 doughnuts. How many snacks do you have?,NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,12,12{SPACE},1,12{SPACE},20780,757584,Object,5,5,Addition,QuestionProc1,"At the competition, you won 8 stickers and 4 medals. How many prizes did you win altogether? ",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,8,11{SPACE},0,{SPACE},1531,655693,Object,6,6,Addition,QuestionProc1,"For the party, you bought 2 cakes and 9 cookies. How many snacks did you buy altogether?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,1,9{SPACE},1,9{SPACE},20478,589372,Object,7,7,Subtraction,QuestionProc1,"You had 12 stickers and cards, but gave 3 away. How many items did you have left?",First,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,23,7{SPACE},1,7{SPACE},47634,935662,Object,8,8,Subtraction,QuestionProc1,"You had 9 fruits altogether, a mix of grapes and oranges. If 2 were grapes, how many were oranges?",First,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,3,5{SPACE},0,0{SPACE},8379,605452,Object,9,9,Subtraction,QuestionProc1,You have 13 toys. You have 8 fewer books than toys. How many books do you have?,First,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,13,3{SPACE},1,3{SPACE},12826,770438,Object,10,10,Subtraction,QuestionProc1,"From the store, you bought 9 pictures and puzzles, but gave away 6. How many items did you have left?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,9,3{SPACE},0,{SPACE},50009,705729,Object,11,11,Subtraction,QuestionProc1,"For drinks, you have a mix of 11 cartons and bottles. If 8 are cartons, how many are bottles?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,24,9{SPACE},0,0{SPACE},6947,942636,Object,12,12,Subtraction,QuestionProc1,"For the collection, you have 15 bags. You have 6 fewer boxes than bags. How many boxes do you have?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,17,12{SPACE},0,{SPACE},1428,818963,Object,13,13,Addition,QuestionProc1,Sam has 3 stickers and also has 9 cards. How many items does he have altogether?,First,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,21,9{SPACE},0,8{SPACE},6689,879574,Object,14,14,Addition,QuestionProc1,Sam had 2 grapes then he was given 7 oranges. How many pieces of fruit does he have now?,First,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,16,13{SPACE},1,13{SPACE},23850,817506,Object,15,15,Addition,QuestionProc1,Sam took 8 toys and 5 books to the sleepover. How many things did he take to the sleepover altogether?,First,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,2,9{SPACE},0,{SPACE},7646,597046,Object,16,16,Addition,QuestionProc1,"Altogether, Sam has 6 pictures and 3 puzzles. How many items does he have?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,15,11{SPACE},0,10{SPACE},20751,793629,Object,17,17,Addition,QuestionProc1,"First Sam had 8 cartons, then he was given 3 bottles. How many drinks does he have now?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,19,15{SPACE},0,18{SPACE},20434,854304,Object,18,18,Addition,QuestionProc1,"For the collection, Sam brought 6 bags and 9 boxes. How many items did he bring altogether?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,6,9{SPACE},1,9{SPACE},9171,642712,Object,19,19,Subtraction,QuestionProc1,Sam had 13 apples and bananas but gave 4 away. How many pieces of fruit did he have left?,First,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,10,2{SPACE},0,10{SPACE},9789,715545,Object,20,20,Subtraction,QuestionProc1,"Sam's 10-item stationery psck included both pencils and notepads. If 8 were pencils, how many were notepads?",First,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,18,4{SPACE},0,1{SPACE},14842,833843,Object,21,21,Subtraction,QuestionProc1,Sam has 7 games. He has 3 fewer songs than games. How many songs does he have?,First,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,11,6{SPACE},0,11{SPACE},21204,736777,Object,22,22,Subtraction,QuestionProc1,"From the bakery, Sam bought 13 sweets and doughnuts, but gave 7 away. How many did he have left?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,14,4{SPACE},0,{SPACE},2384,772850,Object,23,23,Subtraction,QuestionProc1,"At the competition, Sam won 12 stickers and medals. If 8 were stickers, how many were medals?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,4,9{SPACE},0,0{SPACE},11012,616492,Object,24,24,Subtraction,QuestionProc1,"For the party, Sam bought 11 cakes. He bought 2 fewer cookies than cakes. How many cookies did he buy? ",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,18,14{SPACE},0,156{SPACE},17629,427853,Referent,1,25,Addition,QuestionProc,You have 8 apples and John has 6 apples. How many apples are there altogether?,First,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,23,6{SPACE},1,6{SPACE},9769,528124,Referent,2,26,Addition,QuestionProc,You had 4 pencils and Sarah gave you 2 more. How many pencils do you have now?,First,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,3,12{SPACE},1,12{SPACE},20930,144762,Referent,3,27,Addition,QuestionProc,You brought 5 games to the sleepover and Chris brought 7. How many games were brought to the sleepover altogether? ,First,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,19,10{SPACE},1,10{SPACE},12893,440773,Referent,4,28,Addition,QuestionProc,Anna has 3 sweets and you have 7 sweets. How many sweets are there altogether?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,12,8{SPACE},1,8{SPACE},6300,337977,Referent,5,29,Addition,QuestionProc,David has 6 stickers and you gave him 2 more stickers. How many stickers does David have now?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,21,10{SPACE},1,10{SPACE},28347,492738,Referent,6,30,Addition,QuestionProc,Beth brought 6 cakes to the party and you brought 4 more. How many cakes were brought to the party?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,24,5{SPACE},1,5{SPACE},24300,552452,Referent,7,31,Subtraction,QuestionProc,"You had 8 stickers but you gave some to Gareth. If you then had 3 stickers, how many did you give away?",First,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,5,4{SPACE},1,4{SPACE},16873,182935,Referent,8,32,Subtraction,QuestionProc,You had 9 grapes but Zahra took 5. How many grapes do you have now?,First,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,17,7{SPACE},0,0{SPACE},8553,410196,Referent,9,33,Subtraction,QuestionProc,You have 11 toys. Shaun has 4 fewer toys than you. How many does Shaun have?,First,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,2,9{SPACE},0,88{SPACE},32410,123803,Referent,10,34,Subtraction,QuestionProc,"Abbie had 14 pictures but she gave some to you. She then had 5 pictures, how many did she give to you?",NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,11,8{SPACE},1,8{SPACE},26016,331648,Referent,11,35,Subtraction,QuestionProc,Ross had 15 cartons. You took 7 of them. How many cartons does Ross have now?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,14,5{SPACE},0,0{SPACE},23332,375161,Referent,12,36,Subtraction,QuestionProc,Catherine has 11 bags. You have 6 fewer bags than Catherine. How many bags do you have?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,15,8{SPACE},1,8{SPACE},12896,388084,Referent,13,37,Addition,QuestionProc,Sam has 3 stickers and Jack has 5 stickers. How many stickers do they have altogether?,First,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,8,9{SPACE},1,9{SPACE},16200,265934,Referent,14,38,Addition,QuestionProc,Sam had 5 grapes and Rachel gave him 4 more. How many grapes does Sam have now?,First,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,16,11{SPACE},1,11{SPACE},13497,401616,Referent,15,39,Addition,QuestionProc,"Sam brought 4 toys to school, and Joe brought 7 more. How many toys were brought altogether? ",First,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,1,14{SPACE},1,14{SPACE},21028,91365,Referent,16,40,Addition,QuestionProc,Eva has 5 pictures and Sam has 9 pictures. How many pictures do they have altogether?,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,10,15{SPACE},1,15{SPACE},23804,305604,Referent,17,41,Addition,QuestionProc,Nathan has 7 cartoons and Sam gave him 8 more. How many cartoons does Nathan have now?,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,13,11{SPACE},1,11{SPACE},13797,351801,Referent,18,42,Addition,QuestionProc,"Rose bought 5 bags for the trip, and Sam bought 6 more. How many bags did they buy altogether?",NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,22,6{SPACE},0,{SPACE},25559,518326,Referent,19,43,Subtraction,QuestionProc,"Sam had 14 apples. He gave some apples to Angus, and had 8 left. How many apples did he give away?",First,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,20,2{SPACE},1,2{SPACE},23562,464363,Referent,20,44,Subtraction,QuestionProc,Sam had 6 pencils but Jessica took 4 of them. How many pencils does Sam have now?,First,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,9,7{SPACE},0,0{SPACE},15811,281772,Referent,21,45,Subtraction,QuestionProc,Sam has 12 games. Murray has 5 fewer games than Sam. How many games does Murray have?,First,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,6,7{SPACE},1,7{SPACE},19403,202366,Referent,22,46,Subtraction,QuestionProc,"Ashleigh had 10 sweets. She gave some to Sam, then had 3 sweets left. How many sweets did she give away?",NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order3F_A,3,F,A,1,108,9,4,2{SPACE},1,2{SPACE},21243,166035,Referent,23,47,Subtraction,QuestionProc,Ethan had 8 stickers but Sam took 6 of them. How many stickers does Ethan have now?,NotFirst,Other,MultiRefQuestions
